[2026-05-01T02:03:32+02:00] SESSION_START symbol=XRPUSDC dry_run=1 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-01T02:03:32+02:00] TOXIC_MEMORY_LOADED count=17 symbols=0GUSDC,AAVEUSDC,CFGUSDC,DASHUSDC,ENJUSDC,FETUSDC,GIGGLEUSDC,GUNUSDC,HBARUSDC,KITEUSDC
[2026-05-01T02:03:34+02:00] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.00730193% BID:1.3695 ASK:1.3696 MID:1.36954999 P1:1.36954999 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-01T02:03:48+02:00] CHK MOM:0.08% RANGE:0.08% UP:43.75% SPREAD:0.00729554% BID:1.3707 ASK:1.3708 MID:1.37075 P1:1.37075 P2:1.37065 P3:1.37055 P4:1.37055 STATE:IDLE
[2026-05-01T02:03:48+02:00] CHK MOM:0.08% RANGE:0.08% UP:41.17% SPREAD:0.00729554% BID:1.3707 ASK:1.3708 MID:1.37075 P1:1.37075 P2:1.37075 P3:1.37065 P4:1.37055 STATE:IDLE
[2026-05-01T02:03:49+02:00] CHK MOM:0.08% RANGE:0.08% UP:38.88% SPREAD:0.00729554% BID:1.3707 ASK:1.3708 MID:1.37075 P1:1.37075 P2:1.37075 P3:1.37075 P4:1.37065 STATE:IDLE
[2026-05-01T02:03:49+02:00] CHK MOM:0.08% RANGE:0.08% UP:36.84% SPREAD:0.00729554% BID:1.3707 ASK:1.3708 MID:1.37075 P1:1.37075 P2:1.37075 P3:1.37075 P4:1.37075 STATE:IDLE
[2026-05-01T02:03:50+02:00] CHK MOM:0.08% RANGE:0.08% UP:36.84% SPREAD:0.00729554% BID:1.3707 ASK:1.3708 MID:1.37075 P1:1.37075 P2:1.37075 P3:1.37075 P4:1.37075 STATE:IDLE
[2026-05-01T02:03:51+02:00] CHK MOM:0.07% RANGE:0.07% UP:33.33% SPREAD:0.00729554% BID:1.3707 ASK:1.3708 MID:1.37075 P1:1.37075 P2:1.37075 P3:1.37075 P4:1.37075 STATE:IDLE
[2026-05-01T02:03:51+02:00] CHK MOM:0.07% RANGE:0.07% UP:33.33% SPREAD:0.00729554% BID:1.3707 ASK:1.3708 MID:1.37075 P1:1.37075 P2:1.37075 P3:1.37075 P4:1.37075 STATE:IDLE
[2026-05-01T02:03:52+02:00] CHK MOM:0.08% RANGE:0.08% UP:38.88% SPREAD:0.00729447% BID:1.3709 ASK:1.371 MID:1.37095 P1:1.37095 P2:1.37075 P3:1.37075 P4:1.37075 STATE:IDLE
[2026-05-01T02:03:52+02:00] CHK MOM:0.09% RANGE:0.09% UP:44.44% SPREAD:0.00729394% BID:1.371 ASK:1.3711 MID:1.37104999 P1:1.37104999 P2:1.37095 P3:1.37075 P4:1.37075 STATE:IDLE
[2026-05-01T02:03:53+02:00] CHK MOM:0.08% RANGE:0.09% UP:44.44% SPREAD:0.00729447% BID:1.3709 ASK:1.371 MID:1.37095 P1:1.37095 P2:1.37104999 P3:1.37095 P4:1.37075 STATE:IDLE
